Monthly Return,Date,Market_Index,WMT,TGT,VZ,T,Ford,GM
0,Jan-11,0.017757,0.038281,-0.089542,0.007753,-0.050073,-0.05143,-0.011438
1,Feb-11,0.037065,-0.074045,-0.038124,0.035396,0.03015,-0.057526,-0.082218
2,Mar-11,0.002766,0.007769,-0.048935,0.043279,0.077977,-0.009902,-0.07516
3,Apr-11,0.028388,0.055992,-0.018496,-0.007371,0.030409,0.037259,0.03386
4,May-11,-0.015135,0.010804,0.013649,-0.022699,0.013939,-0.035753,-0.008925
5,Jun-11,-0.018595,-0.037868,-0.053097,0.007923,-0.004953,-0.075937,-0.045783
6,Jul-11,-0.022869,-0.008492,0.097234,-0.039414,-0.05516,-0.114976,-0.088674
7,Aug-11,-0.057672,0.015831,0.009122,0.024595,-0.026858,-0.089471,-0.132064
8,Sep-11,-0.084873,-0.024253,-0.0509,0.017558,0.001405,-0.130396,-0.160216
9,Oct-11,0.113882,0.092771,0.116336,0.018378,0.042677,0.207759,0.280871
10,Nov-11,-0.006326,0.038334,-0.032063,0.020181,-0.011359,-0.092566,-0.176502
11,Dec-11,0.003702,0.020798,-0.028083,0.063345,0.043478,0.015094,-0.04791
12,Jan-12,0.053877,0.026574,-0.008205,-0.049053,-0.013097,0.158722,0.184802
13,Feb-12,0.040586,-0.037758,0.12103,0.011349,0.039522,-0.003821,0.082664
14,Mar-12,0.023394,0.042012,0.027271,0.002549,0.020322,0.007074,-0.01482
15,Apr-12,-0.007501,-0.038118,-0.006363,0.068617,0.067183,-0.092484,-0.104014
16,May-12,-0.066231,0.123345,0.00396,0.030504,0.037586,-0.06453,-0.035483
17,Jun-12,0.037656,0.058753,0.004335,0.066743,0.043106,-0.092356,-0.112212
18,Jul-12,0.009566,0.066856,0.041575,0.026303,0.075015,-0.037196,-0.001207
19,Aug-12,0.025365,-0.020146,0.061754,-0.049637,-0.034655,0.015334,0.082307
20,Sep-12,0.025839,0.015829,-0.010374,0.060548,0.02823,0.054974,0.064874
21,Oct-12,-0.015201,0.015431,0.003312,-0.010207,-0.071922,0.135817,0.119779
22,Nov-12,0.004893,-0.041289,-0.005378,-0.012949,-0.014599,0.024686,0.013602
23,Dec-12,0.012131,-0.047505,-0.063128,-0.019666,-0.012706,0.130604,0.113588
24,Jan-13,0.053593,0.024709,0.020457,0.01926,0.044887,0.007222,-0.026168
25,Feb-13,0.007531,0.011066,0.047371,0.066157,0.031393,-0.027055,-0.034264
26,Mar-13,0.034474,0.06306,0.086398,0.055508,0.020921,0.042023,0.023878
27,Apr-13,0.014445,0.038121,0.030325,0.106824,0.032752,0.042086,0.108055
28,May-13,0.018866,-0.031209,-0.010121,-0.100923,-0.066137,0.150785,0.098698
29,Jun-13,-0.015339,-0.004977,-0.009509,0.038066,0.011418,-0.013693,-0.017414
30,Jul-13,0.052481,0.046115,0.034508,-0.007053,0.00884,0.097408,0.076654
31,Aug-13,-0.026114,-0.058008,-0.105803,-0.042841,-0.041228,-0.041277,-0.050302
32,Sep-13,0.037277,0.013228,0.010383,-0.01508,-0.000496,0.041801,0.055258
33,Oct-13,0.038751,0.036623,0.01156,0.092419,0.082578,0.019054,0.026145
34,Nov-13,0.024447,0.055005,-0.007137,-0.01812,-0.027848,-0.002253,0.047673
35,Dec-13,0.025926,-0.023037,-0.010524,-0.009874,-0.00162,-0.096804,0.055054
36,Jan-14,-0.030157,-0.051159,-0.104989,-0.012206,-0.039449,-0.022559,-0.117401
37,Feb-14,0.045673,-0.000232,0.111259,-0.009663,-0.042217,0.028243,0.002826
38,Mar-14,0.003969,0.029085,-0.032959,-0.00071,0.09784,0.013145,-0.041384
39,Apr-14,0.00146,0.042715,0.020293,-0.006717,0.030881,0.043069,0.001543
40,May-14,0.019918,-0.031162,-0.074146,0.06882,-0.006743,0.017657,0.0026
41,Jun-14,0.027741,-0.022344,0.020766,-0.020816,-0.003301,0.048462,0.058215
42,Jul-14,-0.020724,-0.020048,0.0281,0.041083,0.019314,-0.00571,-0.06852
43,Aug-14,0.039871,0.032318,0.016481,-0.0122,-0.018002,0.022614,0.028677
44,Sep-14,-0.025229,0.012748,0.043349,0.003312,0.007909,-0.150588,-0.073663
45,Oct-14,0.020976,-0.002815,-0.01392,0.016003,0.001503,-0.039078,-0.017107
46,Nov-14,0.02075,0.147365,0.205035,0.006366,0.015099,0.115995,0.06425
47,Dec-14,-0.003916,-0.01378,0.025511,-0.075611,-0.050894,-0.014922,0.052946
48,Jan-15,-0.027352,-0.01068,-0.030499,-0.011316,-0.006154,-0.04149,-0.065797
49,Feb-15,0.055748,-0.012556,0.050608,0.08162,0.049618,0.110609,0.143577
50,Mar-15,-0.010639,-0.014378,0.068002,-0.016782,-0.055466,-0.01244,0.012933
51,Apr-15,0.008522,-0.051264,-0.039678,0.04833,0.075144,-0.011972,-0.065267
52,May-15,0.010223,-0.042253,0.012712,-0.019926,-0.002987,-0.039973,0.025856
53,Jun-15,-0.019258,-0.044971,0.029123,-0.057241,0.028373,-0.010547,-0.063386
54,Jul-15,0.011795,0.014503,0.002395,0.015362,-0.009027,-0.002299,-0.054906
55,Aug-15,-0.060293,-0.094215,-0.044039,-0.01697,-0.044629,-0.065034,-0.065993
56,Sep-15,-0.033735,0.001699,0.012225,-0.054336,-0.018675,-0.021629,0.031929
57,Oct-15,0.07386,-0.117312,-0.018915,0.090339,0.042871,0.102332,0.162791
58,Nov-15,0.001742,0.027252,-0.054082,-0.031203,0.004075,-0.033111,0.036252
59,Dec-15,-0.023961,0.048436,-0.000183,0.015242,0.020278,-0.018448,-0.052253
